route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_type,drt_max_travel_time,drt_avg_travel_time,drt_advance_book_min,drt_pickup_message,drt_drop_off_message,continuous_pickup_message,continuous_drop_off_message,booking_rule_id
4930,c_20371_b_27207_d_127,t_1239045_b_27207_tn_2,,Pico Terminal,1,,p_8186,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239046_b_27207_tn_1,,Pico Terminal,1,,p_8186,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239046_b_27207_tn_2,,Pico Terminal,1,,p_8186,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1238845_b_27207_tn_0,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1238848_b_27207_tn_0,,Whitwood Mall,1,,p_8190,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1238850_b_27207_tn_1,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1238850_b_27207_tn_2,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1238852_b_27207_tn_1,,Pico Terminal,1,,p_8186,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1238852_b_27207_tn_2,,Pico Terminal,1,,p_8186,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1238853_b_27207_tn_1,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1238853_b_27207_tn_2,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1238854_b_27207_tn_1,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1238854_b_27207_tn_2,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1238854_b_27207_tn_3,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_31,t_1279821_b_27207_tn_0,,East L.A. College,0,,p_8194,,,,,,,,,,,
4930,c_20371_b_27207_d_96,t_1238857_b_27207_tn_0,,East L.A. College,0,,p_8195,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310368_b_28680_tn_0,,East L.A. College,0,,p_8194,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310251_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310213_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310215_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310216_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310217_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310218_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310219_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310220_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310221_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310222_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310250_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310249_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310248_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310247_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310246_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310245_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310244_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310243_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310242_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310241_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310240_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310239_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310238_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310237_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310236_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310235_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310234_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310233_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
