,trip_id,stop_sequence,stop_id,route_code
2360,60260002981958-JUNE23,95,1866,260.0
2361,60260002982057-JUNE23,95,1866,260.0
2362,60260002982159-JUNE23,95,1866,260.0
2363,70081003190734-JUNE23,95,10438,81.0
2364,70081003190800-JUNE23,95,10438,81.0
2365,70081003190824-JUNE23,95,10438,81.0
2366,70081003191955-JUNE23,95,10438,81.0
2367,70081003191633-JUNE23,95,10438,81.0
2368,10260002980400-JUNE23,95,1866,260.0
2369,70081003202324-JUNE23,95,10438,81.0
2370,60260002980817-JUNE23,95,1866,260.0
2371,70081003202224-JUNE23,95,10438,81.0
2372,60260002980855-JUNE23,95,1866,260.0
2373,70081003202123-JUNE23,95,10438,81.0
2374,10251001840413-JUNE23,94,9313,251.0
2375,10251001840810-JUNE23,94,9313,251.0
2376,10251001840749-JUNE23,94,9313,251.0
2377,10251001840726-JUNE23,94,9313,251.0
2378,10251001840708-JUNE23,94,9313,251.0
2379,10251001840648-JUNE23,94,9313,251.0
2380,10251001840640-JUNE23,94,9313,251.0
2381,10251001840622-JUNE23,94,9313,251.0
2382,10251001840438-JUNE23,94,9313,251.0
2383,10004003230934-JUNE23,94,14915,4.0
2384,10004003230949-JUNE23,94,14915,4.0
2385,10004003231315-JUNE23,94,14915,4.0
2386,10115004390911-JUNE23,94,2330,115.0
2387,10004003230920-JUNE23,94,14915,4.0
2388,10004003230905-JUNE23,94,14915,4.0
2389,10004003230851-JUNE23,94,14915,4.0
2390,70260003031154-JUNE23,94,30014,260.0
2391,70260003031116-JUNE23,94,30014,260.0
2392,70260003031036-JUNE23,94,30014,260.0
2393,70260003030956-JUNE23,94,30014,260.0
2394,70260003030920-JUNE23,94,30014,260.0
2395,70260003030838-JUNE23,94,30014,260.0
2396,10004003231303-JUNE23,94,14915,4.0
2397,10251001840831-JUNE23,94,9313,251.0
2398,10004003231330-JUNE23,94,14915,4.0
2399,10004003231111-JUNE23,94,14915,4.0
2400,10251001840851-JUNE23,94,9313,251.0
2401,10004003231630-JUNE23,94,14915,4.0
2402,10004003231533-JUNE23,94,14915,4.0
2403,10004003231449-JUNE23,94,14915,4.0
2404,10004003231219-JUNE23,94,14915,4.0
2405,10004003231206-JUNE23,94,14915,4.0
2406,10004003231152-JUNE23,94,14915,4.0
2407,10004003231138-JUNE23,94,14915,4.0
2408,10004003231123-JUNE23,94,14915,4.0
2409,10004003231057-JUNE23,94,14915,4.0
2410,10004003231342-JUNE23,94,14915,4.0
2411,10004003231044-JUNE23,94,14915,4.0
2412,10004003231030-JUNE23,94,14915,4.0
2413,10004003231016-JUNE23,94,14915,4.0
2414,10004003231002-JUNE23,94,14915,4.0
2415,10004003231436-JUNE23,94,14915,4.0
2416,10004003231421-JUNE23,94,14915,4.0
2417,10004003231408-JUNE23,94,14915,4.0
2418,10004003231355-JUNE23,94,14915,4.0
2419,70260003030729-JUNE23,94,30014,260.0
2420,70260003030815-JUNE23,94,30014,260.0
2421,10004003230454-JUNE23,94,14915,4.0
2422,70260003030659-JUNE23,94,30014,260.0
2423,10115004391205-JUNE23,94,2330,115.0
2424,10004003230700-JUNE23,94,14915,4.0
2425,10004003230646-JUNE23,94,14915,4.0
2426,10004003230633-JUNE23,94,14915,4.0
2427,10004003230620-JUNE23,94,14915,4.0
2428,10004003230555-JUNE23,94,14915,4.0
2429,10004003230532-JUNE23,94,14915,4.0
2430,10004003230521-JUNE23,94,14915,4.0
2431,10004003230509-JUNE23,94,14915,4.0
2432,70251001902443-JUNE23,94,9313,251.0
2433,70251001902343-JUNE23,94,9313,251.0
2434,70251001902301-JUNE23,94,9313,251.0
2435,70251001902221-JUNE23,94,9313,251.0
2436,70251001900346-JUNE23,94,9313,251.0
2437,70251001842141-JUNE23,94,9313,251.0
2438,70251001842106-JUNE23,94,9313,251.0
2439,70251001842030-JUNE23,94,9313,251.0
2440,70251001842005-JUNE23,94,9313,251.0
2441,70251001841937-JUNE23,94,9313,251.0
2442,70251001841910-JUNE23,94,9313,251.0
2443,70251001841843-JUNE23,94,9313,251.0
2444,70251001841815-JUNE23,94,9313,251.0
2445,10115004391038-JUNE23,94,2330,115.0
2446,10115004391334-JUNE23,94,2330,115.0
2447,10004003230437-JUNE23,94,14915,4.0
2448,10115004391459-JUNE23,94,2330,115.0
2449,70260003030559-JUNE23,94,30014,260.0
2450,70260003030527-JUNE23,94,30014,260.0
2451,60108002811740-JUNE23,94,1647,108.0
2452,10004003230837-JUNE23,94,14915,4.0
2453,10004003230823-JUNE23,94,14915,4.0
2454,10004003230808-JUNE23,94,14915,4.0
2455,10004003230753-JUNE23,94,14915,4.0
2456,10004003230739-JUNE23,94,14915,4.0
2457,10004003230726-JUNE23,94,14915,4.0
2458,10004003230713-JUNE23,94,14915,4.0
2459,10004003231233-JUNE23,94,14915,4.0
2460,10004003231248-JUNE23,94,14915,4.0
2461,70260003031234-JUNE23,94,30014,260.0
2462,70251001841750-JUNE23,94,9313,251.0
2463,70251001841723-JUNE23,94,9313,251.0
2464,70251001840547-JUNE23,94,9313,251.0
2465,70251001840527-JUNE23,94,9313,251.0
2466,70251001840452-JUNE23,94,9313,251.0
2467,70251001840422-JUNE23,94,9313,251.0
2468,10115004391717-JUNE23,94,2330,115.0
